Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,17-Nov-15,1178.4,1190.2,1203.95,1184,1200,1200.75,1193.87,1926695,2300214375,65822,1329733,69.02
HDFC,EQ,18-Nov-15,1200.75,1199,1202.5,1176,1177.1,1178.7,1190.58,1823920,2171529395,32407,1399132,76.71
HDFC,EQ,19-Nov-15,1178.7,1187.25,1217,1184.5,1213.1,1214.2,1202.49,2607107,3135025405,68725,1944785,74.6
HDFC,EQ,20-Nov-15,1214.2,1216,1222.2,1200,1205,1205.75,1210.12,2659599,3218430857,79591,1757512,66.08
HDFC,EQ,23-Nov-15,1205.75,1210,1211,1184.1,1192.2,1191.15,1193.9,2241804,2676489732,89829,1390237,62.01
HDFC,EQ,24-Nov-15,1191.15,1191.15,1224.5,1189.65,1221.65,1218.95,1214.63,3758223,4564858849,149008,2739792,72.9
HDFC,EQ,26-Nov-15,1218.95,1222,1231.95,1216,1224,1222.65,1223.45,2264979,2771085681,104856,1535838,67.81
HDFC,EQ,27-Nov-15,1222.65,1225.1,1242.15,1215.8,1230.15,1230.6,1232.39,1851264,2281481003,76433,1184162,63.97
HDFC,EQ,30-Nov-15,1230.6,1223.5,1229.4,1204.35,1218.5,1211.2,1212.54,6102193,7399156966,125089,4869339,79.8
HDFC,EQ,1-Dec-15,1211.2,1218.95,1228.15,1213.55,1227,1224.7,1221.15,2065617,2522433923,89664,1450798,70.24
HDFC,EQ,2-Dec-15,1224.7,1221.3,1233.3,1206.1,1211,1211.75,1217.35,1513305,1842227478,65877,825891,54.58
HDFC,EQ,3-Dec-15,1211.75,1207.35,1208.9,1198.05,1200,1200.2,1201.7,1577703,1895930612,42931,1050001,66.55
HDFC,EQ,4-Dec-15,1200.2,1190,1192.65,1169.5,1173.85,1171.6,1177.06,2898773,3412032218,77139,2156426,74.39
HDFC,EQ,7-Dec-15,1171.6,1176.3,1187.9,1175.05,1185,1184.6,1182.96,2494804,2951242800,66508,1949986,78.16
HDFC,EQ,8-Dec-15,1184.6,1178.9,1178.9,1169.5,1172.45,1171.55,1171.4,2988127,3500279403,59964,2511819,84.06
HDFC,EQ,9-Dec-15,1171.55,1166.25,1170.4,1150,1156,1153.25,1159.01,1705547,1976742255,47590,961023,56.35
HDFC,EQ,10-Dec-15,1153.25,1155,1185,1154,1182.8,1182.3,1174.33,2489849,2923901613,101706,1781478,71.55
HDFC,EQ,11-Dec-15,1182.3,1185,1188,1162.2,1175,1174.75,1174.94,2219575,2607871085,62052,1685423,75.93
HDFC,EQ,14-Dec-15,1174.75,1156.05,1195,1156.05,1195,1188.05,1179.39,2052379,2420553203,61860,1312887,63.97
HDFC,EQ,15-Dec-15,1188.05,1184.35,1209.5,1180.8,1200,1206.55,1193.49,2628140,3136645859,86901,1959111,74.54
HDFC,EQ,16-Dec-15,1206.55,1211,1222.8,1209.2,1217,1219.3,1218.02,1910248,2326725273,68739,1312025,68.68
HDFC,EQ,17-Dec-15,1219.3,1220,1243.85,1209.5,1238.05,1240.95,1227.43,1921688,2358744509,59477,1304693,67.89
HDFC,EQ,18-Dec-15,1240.95,1247.9,1247.9,1220.55,1224.4,1224.85,1228.41,2755208,3384520574,89014,2058769,74.72
HDFC,EQ,21-Dec-15,1224.85,1218.2,1240,1218.2,1232,1232.35,1230.56,2178186,2680381118,74897,1613447,74.07
HDFC,EQ,22-Dec-15,1232.35,1233.7,1237,1221.5,1228,1228.25,1230.09,1549227,1905693093,103886,1107309,71.47
HDFC,EQ,23-Dec-15,1228.25,1233,1242,1231.5,1236.05,1239.2,1238.91,1327248,1644345068,70215,912157,68.73
HDFC,EQ,24-Dec-15,1239.2,1243,1245,1225.4,1229.5,1229.55,1231.25,391634,482198030.3,11654,181678,46.39
HDFC,EQ,28-Dec-15,1229.55,1229.55,1239,1220.2,1228.8,1227.65,1227.19,1658317,2035069781,49212,1222029,73.69
HDFC,EQ,29-Dec-15,1227.65,1226.55,1239.9,1225.6,1235.7,1234.3,1232.39,1716336,2115189861,36760,1156806,67.4
HDFC,EQ,30-Dec-15,1234.3,1240,1244.9,1230.65,1231.55,1233.7,1237.36,1443470,1786090688,46892,930723,64.48
HDFC,EQ,31-Dec-15,1233.7,1233.9,1274.7,1233.9,1263.5,1263.75,1257.4,3215917,4043706240,60925,2007036,62.41
HDFC,EQ,1-Jan-16,1263.75,1261,1266.9,1250.65,1257.8,1258.45,1258.39,676161,850875068.8,13230,308262,45.59
HDFC,EQ,4-Jan-16,1258.45,1250,1253.9,1212.05,1217.15,1216.7,1227.55,1995329,2449370564,78529,1360507,68.18
HDFC,EQ,5-Jan-16,1216.7,1229.9,1233.45,1206.5,1208.15,1209.4,1219.5,2325929,2836464031,109820,1644980,70.72
HDFC,EQ,6-Jan-16,1209.4,1209.6,1220.75,1202.4,1207.55,1209.3,1210.81,2746330,3325286321,96546,2001431,72.88
HDFC,EQ,7-Jan-16,1209.3,1198.85,1203.55,1175,1176.35,1179.45,1186.35,1780298,2112055407,60151,1172564,65.86
HDFC,EQ,8-Jan-16,1179.45,1189.85,1230,1169,1176.45,1174.4,1175.62,2467149,2900423447,79183,1703449,69.05
HDFC,EQ,11-Jan-16,1174.4,1165,1171,1150.1,1162.35,1161.55,1158.32,2288312,2650597280,90184,1541783,67.38
HDFC,EQ,12-Jan-16,1161.55,1169.4,1169.4,1146.05,1149,1151.85,1152.94,1942208,2239246422,60394,1307327,67.31
HDFC,EQ,13-Jan-16,1151.85,1157,1173.65,1145.35,1166,1167.65,1157.4,1830178,2118247595,67493,1013586,55.38
HDFC,EQ,14-Jan-16,1167.65,1154.9,1167,1147.15,1162,1159.3,1158.69,3250397,3766194123,88329,2243147,69.01
HDFC,EQ,15-Jan-16,1159.3,1160.7,1167.3,1143.15,1148,1149.8,1155.28,1890878,2184486850,54238,1215113,64.26
HDFC,EQ,18-Jan-16,1149.8,1140,1157.7,1125.1,1127.95,1131.8,1139.19,2262744,2577690613,48680,1569012,69.34
HDFC,EQ,19-Jan-16,1131.8,1132.9,1157.15,1130.9,1151,1153,1146.74,1418630,1626794856,68378,861562,60.73
HDFC,EQ,20-Jan-16,1153,1140.25,1198.1,1129.15,1138,1136.65,1136.18,2585069,2937093169,82183,1936503,74.91
HDFC,EQ,21-Jan-16,1136.65,1147.05,1147.7,1121.15,1132,1131.1,1131.36,5451792,6167928177,98807,4097208,75.15
HDFC,EQ,22-Jan-16,1131.1,1140,1163.2,1135.2,1159,1158.45,1154.39,2741456,3164713366,90734,1970887,71.89
HDFC,EQ,25-Jan-16,1158.45,1165,1183.4,1155,1175,1174.6,1175.68,2457396,2889112976,105103,1957586,79.66
HDFC,EQ,27-Jan-16,1174.6,1176.4,1188.45,1162,1162.5,1169.95,1175.94,2496568,2935818385,63831,1663988,66.65
HDFC,EQ,28-Jan-16,1169.95,1150,1159.65,1138,1151.5,1147.75,1149.97,4077193,4688653498,145360,3012750,73.89
HDFC,EQ,29-Jan-16,1147.75,1147.75,1187.75,1145.05,1177,1180,1175.65,3136336,3687245485,124408,2128783,67.87
HDFC,EQ,1-Feb-16,1180,1182.4,1193.95,1170.6,1178.15,1180.05,1182.69,2136935,2527339344,100847,1458767,68.26
HDFC,EQ,2-Feb-16,1180.05,1177.6,1192.85,1166.5,1180.6,1179.8,1181.82,2338231,2763358502,86110,1616392,69.13
HDFC,EQ,3-Feb-16,1179.8,1174.4,1180.85,1158.4,1161.8,1160.95,1167.76,2896768,3382722257,84663,2068425,71.4
HDFC,EQ,4-Feb-16,1160.95,1165.25,1177,1163.3,1168,1168.35,1171,1622222,1899624518,59429,993851,61.26
HDFC,EQ,5-Feb-16,1168.35,1169,1186.1,1169,1183.6,1182.95,1182.13,1168106,1380851121,56288,674853,57.77
HDFC,EQ,8-Feb-16,1182.95,1185.2,1186,1158.05,1160,1164.1,1171.97,1497068,1754517180,60090,1061171,70.88
HDFC,EQ,9-Feb-16,1164.1,1151.1,1168.65,1140.3,1158,1159.9,1151.23,1662393,1913797471,48668,1001949,60.27
HDFC,EQ,10-Feb-16,1159.9,1155,1156.75,1110.5,1118.8,1116.55,1128.59,2964666,3345892263,110371,2230198,75.23
HDFC,EQ,11-Feb-16,1116.55,1110.3,1115.1,1058.05,1070,1066.65,1091.85,3006630,3282803717,74548,2171125,72.21
HDFC,EQ,12-Feb-16,1066.65,1079,1097.1,1067.2,1083.65,1083.75,1084.68,3490711,3786301252,116963,2274452,65.16
HDFC,EQ,15-Feb-16,1083.75,1093.4,1102,1076,1082,1080.45,1088.05,4217676,4589053780,102410,3009995,71.37
HDFC,EQ,16-Feb-16,1080.45,1084.5,1090.45,1063.9,1079,1077.15,1074.08,3312107,3557477946,76993,2000603,60.4
HDFC,EQ,17-Feb-16,1077.15,1078,1085.4,1060.15,1079.85,1076.3,1074.44,2237100,2403629317,83656,1581249,70.68
HDFC,EQ,18-Feb-16,1076.3,1086.85,1086.85,1062.7,1065.75,1069.1,1070.18,3891721,4164849613,139499,3099486,79.64
HDFC,EQ,19-Feb-16,1069.1,1065,1065.4,1046.2,1059.65,1060.85,1056.15,2939450,3104488345,116310,2085991,70.97
HDFC,EQ,22-Feb-16,1060.85,1051,1063.75,1047.85,1058.8,1058.4,1059.3,3374621,3574720264,94904,2573023,76.25
HDFC,EQ,23-Feb-16,1058.4,1062,1062,1040,1048.7,1051.1,1049.97,3253934,3416517938,130789,2641903,81.19
HDFC,EQ,24-Feb-16,1051.1,1050.8,1050.8,1018.55,1023.05,1022.1,1032,4731925,4883364538,140161,3396353,71.78
HDFC,EQ,25-Feb-16,1022.1,1022,1049.5,1011.45,1042,1042.65,1034.31,6122303,6332380326,152516,4767861,77.88
HDFC,EQ,26-Feb-16,1042.65,1056.7,1059,1048.35,1054,1053.7,1053.57,4862409,5122909809,149956,3440132,70.75
HDFC,EQ,29-Feb-16,1053.7,1056,1078.5,1022.05,1064.75,1060.3,1058.22,5507689,5828362606,127502,3594860,65.27
HDFC,EQ,1-Mar-16,1060.3,1072,1073.5,1046.8,1072.4,1069.45,1060.35,5690459,6033874093,141765,4438457,78
HDFC,EQ,2-Mar-16,1069.45,1081.95,1107,1077,1103,1099.55,1098.77,4070235,4472234819,91567,3057624,75.12
HDFC,EQ,3-Mar-16,1099.55,1114.7,1135.8,1107.05,1122.4,1124.15,1120.4,2754190,3085788565,87449,1957525,71.07
HDFC,EQ,4-Mar-16,1124.15,1128,1134.9,1105,1127.85,1129,1119.36,1624796,1818725507,57813,1047257,64.45
HDFC,EQ,8-Mar-16,1129,1120,1150.8,1119,1149.9,1146.45,1141.26,3121092,3561969332,95572,2395119,76.74
HDFC,EQ,9-Mar-16,1146.45,1144,1145,1106,1129.65,1128.65,1122.14,3962894,4446928390,161185,2832177,71.47
HDFC,EQ,10-Mar-16,1128.65,1134.8,1157,1123.95,1157,1153.15,1137.39,4555206,5181041709,199186,3508860,77.03
HDFC,EQ,11-Mar-16,1153.15,1159,1167,1146.5,1161.9,1160.5,1155.96,2950536,3410700454,98690,2209057,74.87
HDFC,EQ,14-Mar-16,1160.5,1168,1175,1146.75,1160,1158.7,1160.67,1239365,1438489400,57993,780121,62.95
HDFC,EQ,15-Mar-16,1158.7,1144,1148.7,1109.4,1113.15,1111.35,1121.48,3897662,4371134132,125955,2726228,69.95
HDFC,EQ,16-Mar-16,1111.35,1101.1,1128.7,1095.5,1128,1125.95,1108.29,3068113,3400366167,103900,1924949,62.74
HDFC,EQ,17-Mar-16,1125.95,1135.55,1152,1104,1107.05,1108.05,1122.4,4138764,4645332474,124761,2642529,63.85
HDFC,EQ,18-Mar-16,1108.05,1111.4,1133,1104,1130.25,1129.3,1119.04,4859516,5437971418,125203,3604408,74.17
HDFC,EQ,21-Mar-16,1129.3,1130,1155.85,1128.05,1150.5,1151.25,1142.35,3940026,4500903873,108048,2849765,72.33
HDFC,EQ,22-Mar-16,1151.25,1142.05,1174,1136,1167.95,1168.1,1150.04,3440836,3957109241,107205,2732288,79.41
HDFC,EQ,23-Mar-16,1168.1,1162.1,1167.7,1143.65,1160,1162.75,1154.31,2117350,2444070313,74414,1403520,66.29
HDFC,EQ,28-Mar-16,1162.75,1154.5,1170.25,1137.3,1143.2,1143.35,1146.39,3943656,4520977500,88017,3133202,79.45
HDFC,EQ,29-Mar-16,1143.35,1135.25,1142,1120.65,1123.95,1125.75,1130.7,3752026,4242411877,84976,2826935,75.34
